Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank,B5. Stress - Bolt Shank,B6. Stress - Bolt Shank,B7. Stress - Bolt Shank,B8. Stress - Bolt Shank,B9. Stress - Bolt Shank,C1. Bolt Working Load,C2. Bolt Working Load,C3. Bolt Working Load,C4. Bolt Working Load,C5. Bolt Working Load,C6. Bolt Working Load,D1. Internal Threads,D2. Internal Threads,D3. Internal Threads,D4. Internal Threads
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,1.6807e-002,-2.1964e-004,-9.4799e-004,-2.2047e-003,3.5838e-004,1059.8,154.74,52.551,59.753,230.91,228.76,58.985,59.542,59.599,0.,0.,0.,0.,0.,0.,1014.7,1015.1,1013.8,1015.4
0.5,1.6455e-002,1.3209e-003,7.8635e-004,-8.7721e-004,8.6426e-003,1061.7,155.3,48.742,58.973,231.33,229.21,58.338,61.523,61.355,999.83,1011.5,1012.7,1001.8,511.72,512.07,1014.7,1025.2,1025.1,1017.4
1.0,2.7011e-002,3.107e-003,2.7921e-003,6.5552e-004,1.7838e-002,1064.7,156.32,47.62,58.726,232.27,230.1,58.949,63.18,63.147,1007.3,1034.6,1036.2,1010.5,523.81,524.24,1022.5,1046.4,1047.,1026.7
1.5,4.348e-002,5.8898e-003,5.8433e-003,2.9638e-003,3.0006e-002,1073.5,159.79,51.203,66.49,235.56,233.07,67.452,65.021,65.486,1046.4,1109.1,1110.1,1050.8,538.36,538.79,1061.,1116.1,1116.6,1066.5
2.0,6.3688e-002,1.0054e-002,9.9153e-003,5.9719e-003,4.4681e-002,1085.6,166.15,66.684,88.877,242.42,239.28,89.919,67.907,68.484,1141.6,1233.7,1235.1,1145.7,555.17,555.88,1154.7,1239.9,1241.3,1160.
2.5,8.5596e-002,1.4853e-002,1.4543e-002,9.3103e-003,6.0526e-002,1097.3,173.99,85.258,116.49,250.65,248.21,117.25,71.886,72.578,1281.2,1383.9,1385.8,1284.4,577.44,578.39,1296.5,1391.,1392.9,1300.9
3.0,0.10844,1.999e-002,1.9485e-002,1.287e-002,7.7067e-002,1110.4,182.42,104.75,146.2,259.87,258.61,146.76,82.277,82.541,1445.9,1549.2,1553.1,1448.,607.74,608.66,1465.3,1557.3,1561.5,1467.7
3.5,0.13139,2.5189e-002,2.4486e-002,1.6469e-002,9.3698e-002,1122.9,190.76,124.53,176.11,269.81,268.94,176.73,94.379,94.712,1616.6,1722.9,1728.7,1617.6,641.69,642.71,1640.4,1732.3,1738.5,1641.
4.0,0.1544,3.0427e-002,2.9525e-002,2.0097e-002,0.1104,1133.2,198.79,144.47,206.24,279.81,279.22,207.,107.03,107.38,1791.7,1902.7,1910.5,1792.6,677.29,678.57,1820.1,1913.7,1922.1,1820.
4.5,0.1774,3.5672e-002,3.4571e-002,2.3728e-002,0.12709,1140.3,206.34,164.51,236.45,289.95,289.34,237.28,119.87,120.29,1969.5,2087.8,2096.7,1969.3,714.09,715.59,2002.7,2100.5,2110.2,2001.
5.0,0.20037,4.0915e-002,3.9615e-002,2.7356e-002,0.14376,1147.1,213.36,184.66,266.65,300.13,299.73,267.58,132.89,133.39,2148.,2277.5,2286.6,2147.2,751.64,753.25,2186.1,2292.,2301.9,2183.3
5.5,0.22329,4.6148e-002,4.465e-002,3.0974e-002,0.16041,1153.7,219.97,204.88,296.81,327.25,328.35,297.85,145.92,146.51,2327.,2470.5,2479.8,2325.7,789.35,791.32,2370.1,2487.1,2497.2,2366.3
6.0,0.24617,5.1374e-002,4.9679e-002,3.4583e-002,0.17703,1160.1,226.2,225.14,326.97,360.57,361.74,328.11,159.08,159.74,2506.4,2665.8,2675.6,2504.7,827.67,829.72,2554.5,2684.3,2695.1,2550.
6.5,0.26902,5.6591e-002,5.4702e-002,3.8184e-002,0.19362,1166.1,232.12,245.45,357.14,393.91,395.14,358.34,172.28,173.,2686.1,2863.2,2873.4,2684.,865.86,868.08,2739.2,2883.8,2894.9,2733.7
7.0,0.29182,6.1799e-002,5.9715e-002,4.1775e-002,0.21019,1171.8,237.61,265.78,387.29,427.26,428.57,388.57,185.41,186.21,2865.8,3062.4,3073.,2863.5,904.18,906.57,2923.8,3084.9,3096.5,2917.7
7.5,0.31459,6.6994e-002,6.4718e-002,4.5357e-002,0.22673,1177.2,242.83,286.15,417.44,460.63,462.,418.83,198.56,199.4,3045.5,3262.9,3274.,3042.9,942.58,945.04,3108.5,3287.4,3299.6,3101.6
8.0,0.33733,7.218e-002,6.9713e-002,4.893e-002,0.24325,1182.2,247.68,306.54,447.58,494.,495.45,449.06,211.73,212.64,3225.2,3464.9,3476.6,3222.2,981.11,983.78,3293.1,3491.3,3504.3,3285.4
8.5,0.36004,7.736e-002,7.4702e-002,5.2498e-002,0.25975,1187.2,252.38,326.95,477.71,527.37,528.9,479.29,224.9,225.88,3404.8,3667.8,3680.1,3401.4,1019.7,1022.4,3477.7,3696.2,3709.7,3469.
9.0,0.38273,8.2534e-002,7.9685e-002,5.606e-002,0.27624,1191.9,256.81,347.37,507.82,560.74,562.34,509.49,238.07,239.1,3584.4,3871.5,3884.4,3580.4,1058.2,1061.2,3662.2,3902.,3916.1,3652.6

DP,1
Piston Pressure (scalar),9
M6 Pretension,1000
M4 Pretension,500
Solution Time,1070.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-19

