Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank,B5. Stress - Bolt Shank,B6. Stress - Bolt Shank,B7. Stress - Bolt Shank,B8. Stress - Bolt Shank,B9. Stress - Bolt Shank,C1. Bolt Working Load,C2. Bolt Working Load,C3. Bolt Working Load,C4. Bolt Working Load,C5. Bolt Working Load,C6. Bolt Working Load,D1. Internal Threads,D2. Internal Threads,D3. Internal Threads,D4. Internal Threads
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,3.0997e-002,-7.4644e-004,-2.9127e-003,-6.2235e-003,2.1927e-004,1178.3,250.56,156.04,179.4,355.77,354.37,177.09,176.93,177.47,0.,0.,0.,0.,0.,0.,3044.2,3045.2,3041.2,3046.3
0.5,3.0856e-002,7.912e-004,-1.1757e-003,-4.8931e-003,8.5088e-003,1178.9,250.8,151.98,178.67,357.11,355.61,176.49,178.65,178.94,2999.5,2995.8,3005.2,3001.6,1511.8,1511.9,3043.8,3039.2,3044.8,3048.
1.0,3.2863e-002,2.3381e-003,5.6355e-004,-3.5712e-003,1.6805e-002,1179.1,250.66,148.62,177.96,357.65,356.41,175.87,181.38,180.14,2999.5,3013.,3025.3,3003.4,1523.4,1523.8,3043.9,3055.,3063.6,3050.1
1.5,4.3219e-002,3.8768e-003,2.2985e-003,-2.2494e-003,2.511e-002,1179.3,250.56,145.28,177.18,358.37,357.36,175.22,183.47,182.13,2999.4,3031.1,3045.6,3005.2,1535.1,1535.7,3044.,3071.8,3082.5,3052.2
2.0,5.4014e-002,5.4515e-003,4.0434e-003,-9.0997e-004,3.3551e-002,1179.6,250.48,142.66,176.38,359.28,358.36,174.52,185.25,184.21,3000.8,3051.,3066.5,3007.3,1546.8,1547.6,3045.8,3090.1,3102.1,3054.9
2.5,6.5857e-002,7.2134e-003,6.0027e-003,5.7691e-004,4.2633e-002,1180.2,250.6,142.79,175.91,360.56,359.67,174.38,186.92,186.18,3007.7,3078.1,3093.9,3015.1,1559.,1559.6,3053.2,3115.6,3128.1,3063.2
3.0,7.9331e-002,9.2648e-003,8.3211e-003,2.33e-003,5.2769e-002,1181.2,251.19,142.53,176.01,362.67,361.83,175.46,188.58,188.24,3022.9,3122.4,3138.5,3031.7,1571.4,1572.3,3068.7,3157.7,3170.8,3080.4
3.5,9.4438e-002,1.1622e-002,1.1025e-002,4.3736e-003,6.3995e-002,1182.7,252.38,144.5,176.87,365.65,364.89,177.2,190.29,190.43,3048.4,3186.6,3204.2,3058.9,1584.7,1585.7,3094.6,3216.5,3231.5,3108.1
4.0,0.11089,1.4268e-002,1.4054e-002,6.6503e-003,7.6107e-002,1184.7,254.06,149.69,183.83,369.56,368.68,186.99,192.03,192.72,3086.5,3270.9,3289.3,3098.3,1598.7,1599.7,3132.4,3295.2,3312.2,3147.3
4.5,0.12883,1.76e-002,1.7466e-002,9.1973e-003,8.9225e-002,1187.3,256.3,154.78,198.98,374.6,373.51,201.98,193.85,195.19,3141.6,3381.2,3400.1,3154.,1613.5,1614.5,3185.3,3403.3,3421.4,3201.5
5.0,0.14772,2.1306e-002,2.1146e-002,1.1923e-002,0.10297,1190.2,258.9,169.72,216.69,380.44,379.18,219.72,196.21,197.92,3211.1,3506.2,3527.,3224.2,1628.8,1630.,3252.,3526.7,3547.4,3268.8
5.5,0.1675,2.5337e-002,2.5089e-002,1.4802e-002,0.11732,1193.,261.66,186.77,238.59,386.85,385.31,241.3,199.21,200.96,3303.4,3646.7,3667.2,3312.8,1645.,1646.2,3343.3,3667.,3687.2,3355.7
6.0,0.18807,2.9679e-002,2.93e-002,1.783e-002,0.13221,1196.1,264.57,204.53,263.64,393.74,391.86,266.42,202.47,204.26,3414.8,3798.,3819.5,3424.2,1662.3,1663.6,3455.2,3818.6,3839.9,3467.8
6.5,0.20922,3.423e-002,3.3699e-002,2.0972e-002,0.14749,1199.3,267.67,222.88,289.91,400.99,398.87,292.54,206.12,207.96,3541.9,3959.2,3981.6,3550.3,1681.5,1683.,3583.5,3980.4,4002.6,3595.6
7.0,0.23074,3.8923e-002,3.8227e-002,2.4188e-002,0.16304,1202.5,270.84,241.56,316.97,408.4,406.1,319.33,210.08,211.99,3678.7,4127.,4150.3,3687.,1702.6,1704.2,3722.6,4149.,4172.2,3734.2
7.5,0.2526,4.3735e-002,4.2868e-002,2.7482e-002,0.17883,1205.9,274.05,260.67,344.75,416.14,413.49,346.73,214.57,216.53,3824.8,4302.7,4326.3,3832.,1726.9,1728.7,3871.4,4325.6,4349.1,3881.7
8.0,0.27466,4.8632e-002,4.7587e-002,3.0824e-002,0.19477,1209.3,277.18,280.01,372.94,425.48,427.38,374.51,221.67,222.13,3976.3,4483.1,4507.2,3982.9,1753.6,1755.6,4026.3,4506.8,4530.7,4035.3
8.5,0.29684,5.3581e-002,5.2357e-002,3.4203e-002,0.21082,1212.7,280.3,299.6,401.45,457.23,459.16,402.8,231.62,232.14,4132.5,4667.9,4692.2,4138.1,1781.2,1783.2,4186.1,4692.4,4716.9,4193.2
9.0,0.31913,5.8571e-002,5.7164e-002,3.7611e-002,0.22696,1216.1,283.2,319.31,430.25,489.22,491.22,431.7,242.99,243.71,4292.7,4856.,4881.2,4297.9,1811.2,1813.4,4350.1,4881.4,4907.,4356.3

DP,2
Piston Pressure (scalar),9
M6 Pretension,3000
M4 Pretension,1500
Solution Time,1031.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-21

