Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank,B5. Stress - Bolt Shank,B6. Stress - Bolt Shank,B7. Stress - Bolt Shank,B8. Stress - Bolt Shank,B9. Stress - Bolt Shank,C1. Bolt Working Load,C2. Bolt Working Load,C3. Bolt Working Load,C4. Bolt Working Load,C5. Bolt Working Load,C6. Bolt Working Load,D1. Internal Threads,D2. Internal Threads,D3. Internal Threads,D4. Internal Threads
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,0.10263,-2.316e-003,-9.5137e-003,-2.049e-002,3.2118e-004,1341.8,377.71,512.78,601.03,739.85,734.68,593.19,585.03,585.34,0.,0.,0.,0.,0.,0.,10148,10149,10136,10155
0.5,0.1025,-7.9296e-004,-7.7729e-003,-1.917e-002,8.6085e-003,1341.8,377.2,509.32,600.25,741.71,736.26,592.52,585.19,587.7,10000,10017,10019,10002,5011.3,5011.5,10148,10165,10153,10157
1.0,0.10237,7.394e-004,-6.0313e-003,-1.7851e-002,1.6897e-002,1341.9,376.79,505.96,599.53,742.54,737.22,591.9,586.82,590.66,10000,10038,10041,10004,5022.9,5023.3,10148,10184,10174,10159
1.5,0.10226,2.2853e-003,-4.2901e-003,-1.6533e-002,2.5184e-002,1342.,376.37,502.74,598.8,743.37,738.18,591.29,588.43,593.26,10000,10058,10064,10006,5034.5,5035.2,10149,10203,10195,10161
2.0,0.10215,3.8312e-003,-2.549e-003,-1.5215e-002,3.3473e-002,1342.1,375.96,499.52,598.08,744.22,739.14,590.68,591.17,595.72,10001,10078,10086,10008,5046.2,5047.,10149,10222,10217,10163
2.5,0.10206,5.3772e-003,-8.0769e-004,-1.3896e-002,4.1762e-002,1342.2,375.54,496.31,597.36,745.07,740.1,590.07,593.99,597.99,10001,10098,10109,10010,5057.8,5058.9,10149,10241,10238,10166
3.0,0.10239,6.9235e-003,9.3379e-004,-1.2578e-002,5.0051e-002,1342.3,375.12,493.1,596.63,745.89,741.03,589.43,596.8,600.23,10001,10119,10131,10012,5069.4,5070.7,10149,10260,10259,10168
3.5,0.1125,8.4702e-003,2.6755e-003,-1.1259e-002,5.8341e-002,1342.4,374.72,489.9,595.89,746.7,741.98,588.8,599.61,602.4,10001,10139,10154,10014,5081.,5082.5,10150,10279,10280,10170
4.0,0.12274,1.0018e-002,4.4162e-003,-9.9401e-003,6.6631e-002,1342.6,374.32,486.72,595.15,747.51,742.93,588.18,602.38,604.46,10001,10159,10176,10016,5092.6,5094.4,10150,10298,10302,10172
4.5,0.13312,1.1558e-002,6.154e-003,-8.6218e-003,7.4926e-002,1342.7,373.93,483.54,594.37,748.34,743.9,587.56,604.97,606.4,10002,10180,10199,10018,5104.2,5106.2,10150,10317,10323,10174
5.0,0.14361,1.3089e-002,7.8861e-003,-7.3036e-003,8.3229e-002,1342.9,373.55,480.38,593.54,749.17,744.89,586.94,607.04,608.3,10002,10200,10222,10020,5115.9,5118.1,10151,10336,10345,10177
5.5,0.15419,1.4624e-002,9.6151e-003,-5.9834e-003,9.1558e-002,1343.1,373.18,477.21,592.73,750.02,745.9,586.28,608.92,610.18,10002,10221,10245,10022,5127.5,5130.,10152,10356,10367,10179
6.0,0.16495,1.619e-002,1.1351e-002,-4.6557e-003,9.9963e-002,1343.3,372.81,475.6,591.95,750.92,746.93,585.58,610.79,612.04,10004,10243,10269,10024,5139.2,5141.9,10153,10376,10389,10182
6.5,0.17595,1.7803e-002,1.312e-002,-3.3043e-003,0.1085,1343.6,372.44,475.86,591.24,751.9,748.,584.93,612.48,613.88,10007,10267,10293,10027,5151.,5153.7,10157,10399,10412,10185
7.0,0.18727,1.9468e-002,1.4956e-002,-1.906e-003,0.11724,1343.8,372.11,476.08,590.66,752.97,749.15,584.33,614.17,615.73,10012,10293,10320,10032,5162.8,5165.6,10162,10424,10438,10191
7.5,0.19897,2.1196e-002,1.6879e-002,-4.4557e-004,0.12622,1344.1,371.79,476.23,590.2,754.17,750.41,583.9,615.84,617.58,10018,10322,10349,10040,5174.7,5177.6,10169,10451,10466,10198
8.0,0.21108,2.2998e-002,1.8895e-002,1.0797e-003,0.13546,1344.5,371.5,476.31,589.9,755.48,751.77,583.65,617.52,619.46,10027,10355,10382,10049,5186.7,5189.7,10178,10482,10498,10209
8.5,0.22363,2.4875e-002,2.1007e-002,2.6769e-003,0.14498,1344.8,371.26,476.3,589.74,756.92,753.28,583.55,619.11,621.36,10038,10391,10420,10062,5198.9,5201.9,10189,10517,10534,10221
9.0,0.23669,2.6851e-002,2.324e-002,4.3634e-003,0.15484,1345.3,371.08,476.21,589.78,758.56,755.02,583.64,620.72,623.31,10051,10434,10463,10076,5211.4,5214.4,10203,10558,10575,10236

DP,5
Piston Pressure (scalar),9
M6 Pretension,10000
M4 Pretension,5000
Solution Time,1030.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-28

