Piston Pressure,A1. Total Deformation,A2. Directional Deformation,A3. Bolt 1 Deformation Probe,A4. Bolt 2 Deformation Probe,A5. Piston 1 Deformation Probe,B1. Stress - All,B2. Stress - Calliper Mount,B3. Stress - Calliper Free-Side,B4. Stress - Bolt Shank,B5. Stress - Bolt Shank,B6. Stress - Bolt Shank,B7. Stress - Bolt Shank,B8. Stress - Bolt Shank,B9. Stress - Bolt Shank,C1. Bolt Working Load,C2. Bolt Working Load,C3. Bolt Working Load,C4. Bolt Working Load,C5. Bolt Working Load,C6. Bolt Working Load,D1. Internal Threads,D2. Internal Threads,D3. Internal Threads,D4. Internal Threads
Piston Pressure,Maximum,Maximum,Z,Z,Z,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Maximum,Working Load,Working Load,Working Load,Working Load,Working Load,Working Load,Total,Total,Total,Total
MPa,mm,mm,mm,mm,mm,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,MPa,N,N,N,N,N,N,N,N,N,N
0,7.1906e-002,-1.655e-003,-6.7003e-003,-1.4376e-002,2.2518e-004,1273.8,335.4,360.12,419.71,569.59,565.49,414.23,410.96,411.69,0.,0.,0.,0.,0.,0.,7103.3,7104.6,7095.4,7108.2
0.5,7.1781e-002,-1.296e-004,-4.9607e-003,-1.3056e-002,8.5241e-003,1273.8,334.55,356.69,418.97,571.31,566.99,413.59,411.4,412.68,7000.2,7019.7,7021.2,7002.4,3511.3,3511.7,7103.6,7122.9,7115.2,7110.8
1.0,7.1657e-002,1.4139e-003,-3.2197e-003,-1.1737e-002,1.6821e-002,1273.9,334.16,353.32,418.26,572.2,567.97,412.99,413.03,414.37,7000.2,7039.2,7043.1,7004.3,3523.,3523.5,7103.7,7141.,7135.7,7112.8
1.5,7.1551e-002,2.9602e-003,-1.4791e-003,-1.0417e-002,2.5118e-002,1273.9,333.77,350.06,417.55,573.1,568.99,412.38,415.75,416.77,7000.3,7059.2,7065.2,7006.2,3534.6,3535.3,7103.9,7159.5,7156.3,7115.
2.0,7.146e-002,4.5068e-003,2.6162e-004,-9.0977e-003,3.3416e-002,1274.,333.38,346.81,416.82,574.03,570.01,411.74,418.54,419.06,7000.4,7079.,7087.3,7008.1,3546.2,3547.2,7104.1,7178.,7177.1,7117.1
2.5,7.9796e-002,6.0542e-003,2.0021e-003,-7.7783e-003,4.1713e-002,1274.2,333.,343.57,416.08,574.97,571.03,411.11,421.32,421.23,7000.4,7099.,7109.4,7010.,3557.8,3559.,7104.3,7196.5,7197.8,7119.2
3.0,9.0102e-002,7.5995e-003,3.7411e-003,-6.4592e-003,5.0012e-002,1274.3,332.62,340.34,415.34,575.92,572.06,410.49,423.95,423.3,7000.5,7119.1,7131.6,7011.9,3569.4,3570.9,7104.5,7215.3,7218.7,7121.4
3.5,0.10058,9.131e-003,5.473e-003,-5.1407e-003,5.832e-002,1274.4,332.25,337.13,414.53,576.88,573.09,409.86,425.87,425.3,7000.4,7139.4,7154.1,7013.7,3581.1,3582.8,7104.7,7234.2,7239.9,7123.5
4.0,0.11121,1.0671e-002,7.2009e-003,-3.819e-003,6.667e-002,1274.5,331.88,333.88,413.7,577.86,574.12,409.15,427.71,427.2,7000.8,7160.,7176.8,7015.5,3592.7,3594.6,7105.4,7253.4,7261.4,7125.7
4.5,0.12211,1.2261e-002,8.9524e-003,-2.478e-003,7.5156e-002,1274.7,331.51,332.65,412.91,578.95,575.23,408.45,429.47,429.11,7002.9,7182.9,7200.3,7017.9,3604.4,3606.5,7107.9,7275.,7283.6,7128.6
5.0,0.13348,1.3933e-002,1.0794e-002,-1.0745e-003,8.3925e-002,1275.,331.17,332.81,412.29,580.18,576.49,407.81,431.18,431.,7007.6,7209.,7226.7,7022.7,3616.3,3618.4,7113.,7299.6,7308.8,7134.
5.5,0.14539,1.5698e-002,1.2758e-002,4.1674e-004,9.3035e-002,1275.3,330.88,332.86,411.85,581.57,577.9,407.4,432.89,432.91,7014.9,7239.2,7257.5,7030.9,3628.2,3630.4,7120.7,7328.3,7338.5,7142.8
6.0,0.15794,1.7574e-002,1.4866e-002,2.0132e-003,0.10256,1275.6,330.65,332.79,411.61,583.21,579.54,407.22,434.51,434.86,7025.5,7275.8,7294.5,7042.8,3640.4,3642.6,7131.7,7363.4,7374.2,7155.2
6.5,0.1712,1.9582e-002,1.7138e-002,3.7342e-003,0.11256,1276.1,330.51,332.6,411.7,585.16,581.51,408.02,436.15,436.87,7039.4,7320.,7339.7,7058.2,3652.9,3655.2,7146.1,7405.7,7417.6,7171.2
7.0,0.18511,2.1713e-002,1.9562e-002,5.566e-003,0.12299,1276.6,330.47,332.2,412.12,587.5,583.85,409.48,437.81,438.91,7057.3,7371.9,7392.2,7077.6,3665.8,3668.1,7164.3,7454.9,7467.9,7191.1
7.5,0.19962,2.396e-002,2.213e-002,7.5041e-003,0.13381,1277.3,330.53,331.61,412.84,590.17,586.59,411.21,439.47,441.01,7079.3,7431.2,7452.6,7101.1,3678.8,3681.3,7186.6,7510.3,7524.7,7214.9
8.0,0.21477,2.6329e-002,2.4856e-002,9.5569e-003,0.14506,1278.2,330.7,336.41,413.9,593.22,589.69,413.3,441.13,443.15,7106.3,7498.2,7521.7,7129.9,3692.2,3694.7,7213.6,7571.8,7588.6,7243.8
8.5,0.23041,2.8802e-002,2.7702e-002,1.1692e-002,0.15664,1279.1,330.95,341.18,415.3,596.61,593.08,415.61,442.82,445.33,7138.1,7572.7,7597.3,7162.8,3705.8,3708.4,7245.3,7640.4,7659.2,7276.7
9.0,0.24663,3.1409e-002,3.0687e-002,1.3924e-002,0.1686,1280.3,331.3,346.05,418.79,600.43,596.86,425.53,444.53,447.54,7175.5,7656.7,7680.9,7201.5,3719.6,3722.2,7282.4,7718.7,7738.1,7314.9

DP,4
Piston Pressure (scalar),9
M6 Pretension,7000
M4 Pretension,3500
Solution Time,995.0
Mesh Nodes,195306
Mesh Elements,85297
Solution Date,2026-07-05_20-23-26

