in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
8.60E+01,2.661E+01,-1.281E+01,-1.073E+02,4.000E-02
8.70E+01,2.692E+01,-1.245E+01,-1.053E+02,4.000E-02
8.80E+01,2.723E+01,-1.248E+01,-1.072E+02,4.000E-02
8.90E+01,2.754E+01,-1.237E+01,-1.061E+02,4.000E-02
9.00E+01,2.786E+01,-1.206E+01,-1.069E+02,4.000E-02
9.10E+01,2.818E+01,-1.222E+01,-1.079E+02,4.000E-02
9.20E+01,2.851E+01,-1.202E+01,-1.075E+02,4.000E-02
9.30E+01,2.884E+01,-1.197E+01,-1.082E+02,4.000E-02
9.40E+01,2.917E+01,-1.184E+01,-1.087E+02,4.000E-02
9.50E+01,2.951E+01,-1.163E+01,-1.075E+02,4.000E-02
9.60E+01,2.985E+01,-1.166E+01,-1.087E+02,4.000E-02
9.70E+01,3.020E+01,-1.157E+01,-1.080E+02,4.000E-02
9.80E+01,3.055E+01,-1.146E+01,-1.089E+02,4.000E-02
9.90E+01,3.090E+01,-1.132E+01,-1.079E+02,4.000E-02
1.00E+02,3.126E+01,-1.109E+01,-1.085E+02,4.000E-02
1.01E+02,3.162E+01,-1.117E+01,-1.098E+02,4.000E-02
1.02E+02,3.199E+01,-1.088E+01,-1.082E+02,4.000E-02
1.03E+02,3.236E+01,-1.092E+01,-1.091E+02,4.000E-02
1.04E+02,3.273E+01,-1.094E+01,-1.106E+02,4.000E-02
1.05E+02,3.311E+01,-1.076E+01,-1.087E+02,4.000E-02
1.06E+02,3.350E+01,-1.056E+01,-1.109E+02,4.000E-02
1.07E+02,3.388E+01,-1.058E+01,-1.110E+02,4.000E-02
1.08E+02,3.428E+01,-1.052E+01,-1.107E+02,4.000E-02
1.09E+02,3.467E+01,-1.028E+01,-1.108E+02,4.000E-02
1.10E+02,3.508E+01,-1.033E+01,-1.095E+02,4.000E-02
1.11E+02,3.548E+01,-1.026E+01,-1.110E+02,4.000E-02
1.12E+02,3.589E+01,-1.012E+01,-1.103E+02,4.000E-02
1.13E+02,3.631E+01,-9.996E+00,-1.107E+02,4.000E-02
1.14E+02,3.673E+01,-9.964E+00,-1.110E+02,4.000E-02
1.15E+02,3.715E+01,-9.777E+00,-1.122E+02,4.000E-02
1.16E+02,3.758E+01,-9.739E+00,-1.120E+02,4.000E-02
1.17E+02,3.802E+01,-9.644E+00,-1.125E+02,4.000E-02
1.18E+02,3.846E+01,-9.756E+00,-1.123E+02,4.000E-02
1.19E+02,3.890E+01,-9.444E+00,-1.127E+02,4.000E-02
1.20E+02,3.936E+01,-9.371E+00,-1.122E+02,4.000E-02
1.21E+02,3.981E+01,-9.279E+00,-1.132E+02,4.000E-02
1.22E+02,4.027E+01,-9.068E+00,-1.127E+02,4.000E-02
1.23E+02,4.074E+01,-9.014E+00,-1.131E+02,4.000E-02
1.24E+02,4.121E+01,-8.986E+00,-1.148E+02,4.000E-02
1.25E+02,4.169E+01,-8.907E+00,-1.145E+02,4.000E-02
1.26E+02,4.217E+01,-8.797E+00,-1.147E+02,4.000E-02
1.27E+02,4.266E+01,-8.827E+00,-1.139E+02,4.000E-02
1.28E+02,4.315E+01,-8.638E+00,-1.153E+02,4.000E-02
1.29E+02,4.365E+01,-8.511E+00,-1.144E+02,4.000E-02
1.30E+02,4.416E+01,-8.293E+00,-1.147E+02,4.000E-02
1.31E+02,4.467E+01,-8.454E+00,-1.155E+02,4.000E-02
1.32E+02,4.519E+01,-8.384E+00,-1.166E+02,4.000E-02
1.33E+02,4.571E+01,-8.185E+00,-1.167E+02,4.000E-02
1.34E+02,4.624E+01,-8.192E+00,-1.165E+02,4.000E-02
1.35E+02,4.677E+01,-8.059E+00,-1.161E+02,4.000E-02
1.36E+02,4.732E+01,-7.951E+00,-1.172E+02,4.000E-02
1.37E+02,4.786E+01,-7.960E+00,-1.175E+02,4.000E-02
1.38E+02,4.842E+01,-7.796E+00,-1.175E+02,4.000E-02
1.39E+02,4.898E+01,-7.813E+00,-1.183E+02,4.000E-02
